date,weekday,USD/CNY,EUR/CNY,100JPY/CNY,HKD/CNY,GBP/CNY,AUD/CNY,NZD/CNY,SGD/CNY,CHF/CNY,CAD/CNY,CNY/MYR,CNY/RUB,CNY/ZAR,CNY/KRW,CNY/AED,CNY/SAR,CNY/HUF,CNY/PLN,CNY/DKK,CNY/SEK,CNY/NOK,CNY/TRY,CNY/MXN,CNY/THB
2017-12-29,五,6.5342,7.8023,5.7883,0.8359,8.7792,5.0928,4.6327,4.8831,6.6779,5.2009,0.6222,8.814,1.8950,163.69,0.56212,0.57397,39.7300,0.53576,0.9543,1.2624,1.2624,0.57834,3.0165,4.9988
2017-12-28,四,6.5412,7.7837,5.7788,0.8373,8.7708,5.0863,4.6259,4.8820,6.6371,5.1701,0.6239,8.8179,1.8747,164.02,0.56144,0.57329,39.8521,0.53833,0.9565,1.2638,1.2633,0.58342,3.0142,5.0044
2017-12-27,三,6.5421,7.758,5.7795,0.8373,8.7486,5.0562,4.6002,4.8698,6.6106,5.1564,0.6241,8.8126,1.9108,164.39,0.56137,0.57324,40.1733,0.54125,0.9597,1.2765,1.2702,0.58209,3.0367,5.0076
2017-12-26,二,6.5416,7.7656,5.7734,0.8375,8.748,5.0502,4.5959,4.8672,6.6165,5.1397,0.6233,8.8743,1.9273,164.78,0.56141,0.57328,40.1336,0.54018,0.9586,1.2735,1.2715,0.58169,3.0184,4.9986
2017-12-25,一,6.5683,7.7872,5.7975,0.84,8.7794,5.0666,4.6060,4.8879,6.6396,5.1627,0.6208,8.8783,1.9205,164.15,0.55912,0.57095,39.9594,0.53885,0.9560,1.2698,1.2675,0.58027,3.0045,4.9809
2017-12-22,五,6.5821,7.8041,5.8069,0.8415,8.8083,5.072,4.6180,4.8957,6.6592,5.1667,0.6195,8.8794,1.9383,164.29,0.55793,0.56976,39.9799,0.53768,0.9535,1.2735,1.2711,0.58045,2.9585,4.9669
2017-12-21,四,6.5795,7.8149,5.8056,0.8412,8.7971,5.0449,4.6105,4.8960,6.6697,5.1283,0.6187,8.9276,1.9358,164.30,0.55816,0.56994,40.0456,0.53821,0.9528,1.2762,1.2779,0.58070,2.9235,4.975
2017-12-20,三,6.6066,7.8226,5.8513,0.845,8.8452,5.0607,4.6084,4.9053,6.7061,5.1324,0.6176,8.8967,1.9265,164.27,0.55591,0.56766,40.0003,0.53717,0.9515,1.2714,1.2642,0.58030,2.9077,4.9513
2017-12-19,二,6.6098,7.788,5.8725,0.8456,8.8443,5.0663,4.6242,4.9032,6.7060,5.1369,0.6175,8.875,1.9258,164.47,0.55568,0.56741,40.2272,0.54006,0.9557,1.2763,1.2648,0.57940,2.8863,4.9408
2017-12-18,一,6.6162,7.7707,5.8713,0.8469,8.8109,5.0595,4.6313,4.9030,6.6764,5.1403,0.6168,8.8931,1.9782,164.69,0.55515,0.56685,40.4138,0.54186,0.9579,1.2860,1.2679,0.58316,2.8899,4.917
2017-12-15,五,6.6113,7.7838,5.8837,0.8465,8.8784,5.067,4.6190,4.9109,6.6843,5.1662,0.6173,8.8952,2.0421,164.71,0.55561,0.56730,40.3800,0.54261,0.9564,1.2768,1.2550,0.58804,2.8915,4.9166
